ID Município,ID Prática,Carimbo de data/hora,Parceiro,Empresa Patrocinadora,Município,Estado,Eixo,Temática,Competência,Prática de gestão,Pactuado?,Baseline Eixo Nota,Baseline Temática Nota,Baseline Competência Nota,Baseline Prática Nota,Baseline Eixo Classificação,Baseline Temática Classificação,Baseline Competência Classificação,Baseline Prática Classificação,Validado Eixo Nota,Validado Temática Nota,Validado Competência Nota,Validado Prática Nota,Validado Eixo Classificação,Validado Temática Classificação,Validado Competência Classificação,Validado Prática Classificação,Meta Eixo Nota,Meta Temática Nota,Meta Competência Nota,Meta Prática Nota,Meta Eixo Classificação,Meta Temática Classificação,Meta Competência Classificação,ID Competência,ID Temática,ID Eixo,Validado Competência Nota BI,Reaplicado Eixo Nota,Reaplicado Temática Nota,Reaplicado Competência Nota,Reaplicado Prática Nota,Reaplicado Eixo Classificação,Reaplicado Temática Classificação,Reaplicado Competência Classificação,Reaplicado Prática Classificação,Aplicação Final Eixo Nota,Aplicação Final Temática Nota,Aplicação Final Competência Nota,Aplicação Final Prática Nota,Aplicação Final Eixo Classificação,Aplicação Final Temática Classificação,Aplicação Final Competência Classificação,Aplicação Final Prática Classificação
1,1,15/03/2021,EloGroup,Nexa,Paracatu,MG,Continuidade do Enfrentamento à COVID-19,FLUXO DE DADOS EPIDEMIOLÓGICOS,Registro de casos,O município tem seguido os protocolos de identificação e notificação de casos e óbitos do Ministério da Saúde. (ex.: identificação de casos SG e SRAG pelos critérios preconizados e registro de óbitos nos sistemas do Ministério da Saúde).,Sim,"3,078947368","2,8","3,33",4,3 - Consolidado,3 - Consolidado,3 - Consolidado,Faço sempre,"3,078947368","2,8","2,6",,3 - Consolidado,3 - Consolidado,3 - Consolidado,,"3,225","3,028571429","3,6",,3 - Consolidado,3 - Consolidado,4 - Robusto,1,1,1,"3,333333333","3,333333333",3,"3,333333333",4,3 - Consolidado,3 - Consolidado,3 - Consolidado,Faço sempre,4,"3,806451613",4,4,4 - Robusto,4 - Robusto,4 - Robusto,4 - Robusto
1,2,15/03/2021,EloGroup,Nexa,Paracatu,MG,Continuidade do Enfrentamento à COVID-19,FLUXO DE DADOS EPIDEMIOLÓGICOS,Registro de casos,A alimentação dos sistemas de informação do Ministério da Saúde para a notificação de casos da COVID-19 acontece diariamente.,Sim,"3,078947368","2,8","3,33",3,3 - Consolidado,3 - Consolidado,3 - Consolidado,Faço quase sempre,"3,078947368","2,8","2,6",,3 - Consolidado,3 - Consolidado,3 - Consolidado,,"3,225","3,028571429","3,6",,3 - Consolidado,3 - Consolidado,4 - Robusto,1,1,1,"3,333333333","3,333333333",3,"3,333333333",3,3 - Consolidado,3 - Consolidado,3 - Consolidado,Faço quase sempre,"3,714285714","3,806451613",4,4,4 - Robusto,4 - Robusto,4 - Robusto,4 - Robusto
1,3,15/03/2021,EloGroup,Nexa,Paracatu,MG,Continuidade do Enfrentamento à COVID-19,FLUXO DE DADOS EPIDEMIOLÓGICOS,Registro de casos,"Os dados da notificação da COVID-19 do paciente e do seu respectivo teste são precisos e consistentes quanto aos endereços, datas, sintomas, resultado e outros.",Sim,"3,078947368","2,8","3,33",3,3 - Consolidado,3 - Consolidado,3 - Consolidado,Faço quase sempre,"3,078947368","2,8","2,6",,3 - Consolidado,3 - Consolidado,3 - Consolidado,,"3,225","3,028571429","3,6",,3 - Consolidado,3 - Consolidado,4 - Robusto,1,1,1,"3,333333333","3,333333333",3,"3,333333333",3,3 - Consolidado,3 - Consolidado,3 - Consolidado,Faço quase sempre,"3,714285714","3,806451613",4,4,4 - Robusto,4 - Robusto,4 - Robusto,4 - Robusto
1,4,15/03/2021,EloGroup,Nexa,Paracatu,MG,Continuidade do Enfrentamento à COVID-19,FLUXO DE DADOS EPIDEMIOLÓGICOS,Fluxo de dados,Existe um responsável e uma rotina consistente de repasse dos dados epidemiológicos entre o setor de epidemiologia e o de comunicação do município.,Não,"3,078947368","2,8","2,67",3,3 - Consolidado,3 - Consolidado,3 - Consolidado,Faço quase sempre,"3,078947368","2,8","2,6",,3 - Consolidado,3 - Consolidado,3 - Consolidado,,,,,,,,,2,1,1,"2,666666667",,,,,,,,,,,,,,,,
1,5,15/03/2021,EloGroup,Nexa,Paracatu,MG,Continuidade do Enfrentamento à COVID-19,FLUXO DE DADOS EPIDEMIOLÓGICOS,Fluxo de dados,"Existe um responsável e uma rotina consistente de alimentação dos sistemas de notificação do Ministério da Saúde. (ex: E-SUS VE, SIVEP-Gripe e outros).",Não,"3,078947368","2,8","2,67",3,3 - Consolidado,3 - Consolidado,3 - Consolidado,Faço quase sempre,"3,078947368","2,8","2,6",,3 - Consolidado,3 - Consolidado,3 - Consolidado,,,,,,,,,2,1,1,"2,666666667",,,,,,,,,,,,,,,,
1,6,15/03/2021,EloGroup,Nexa,Paracatu,MG,Continuidade do Enfrentamento à COVID-19,FLUXO DE DADOS EPIDEMIOLÓGICOS,Fluxo de dados,Existe fluxo de processo formalizado para as rotinas que envolvem o repasse de dados epidemiológicos entre os setores da epidemiologia e da atenção primária.,Não,"3,078947368","2,8","2,67",2,3 - Consolidado,3 - Consolidado,3 - Consolidado,Faço às vezes,"3,078947368","2,8","2,6",,3 - Consolidado,3 - Consolidado,3 - Consolidado,,,,,,,,,2,1,1,"2,666666667",,,,,,,,,,,,,,,,
1,7,15/03/2021,EloGroup,Nexa,Paracatu,MG,Continuidade do Enfrentamento à COVID-19,FLUXO DE DADOS EPIDEMIOLÓGICOS,Suporte à decisão,O município possui um banco de dados epidemiológicos completo e com informações atualizadas.,Sim,"3,078947368","2,8","2,50",2,3 - Consolidado,3 - Consolidado,2 - Em consolidação,Faço às vezes,"3,078947368","2,8","1,6",,3 - Consolidado,3 - Consolidado,2 - Em consolidação,,"3,225","3,028571429","2,6",,3 - Consolidado,3 - Consolidado,3 - Consolidado,3,1,1,"2,5","3,333333333",3,"2,75",3,3 - Consolidado,3 - Consolidado,3 - Consolidado,Faço quase sempre,"3,666666667","3,806451613","3,5",3,4 - Robusto,4 - Robusto,3 - Consolidado,3 - Consolidado
1,8,15/03/2021,EloGroup,Nexa,Paracatu,MG,Continuidade do Enfrentamento à COVID-19,FLUXO DE DADOS EPIDEMIOLÓGICOS,Suporte à decisão,"Existe um painel de dados epidemiológicos que dá suporte à tomada de decisões de combate à COVID-19 no município, como identificação de bairros ou grupos demográficos com maior disseminação da doença.",Sim,"3,078947368","2,8","2,50",3,3 - Consolidado,3 - Consolidado,2 - Em consolidação,Faço quase sempre,"3,078947368","2,8","1,6",,3 - Consolidado,3 - Consolidado,2 - Em consolidação,,"3,225","3,028571429","2,6",,3 - Consolidado,3 - Consolidado,3 - Consolidado,3,1,1,"2,5","3,333333333",3,"2,75",3,3 - Consolidado,3 - Consolidado,3 - Consolidado,Faço quase sempre,"3,714285714","3,806451613","3,5",4,4 - Robusto,4 - Robusto,3 - Consolidado,4 - Robusto
1,9,15/03/2021,EloGroup,Nexa,Paracatu,MG,Continuidade do Enfrentamento à COVID-19,FLUXO DE DADOS EPIDEMIOLÓGICOS,Suporte à decisão,"O município define e prioriza ações de testagem, rastreamento de contatos e isolamento social com base na análise dos dados epidemiológicos locais.",Sim,"3,078947368","2,8","2,50",3,3 - Consolidado,3 - Consolidado,2 - Em consolidação,Faço quase sempre,"3,078947368","2,8","1,6",,3 - Consolidado,3 - Consolidado,2 - Em consolidação,,"3,225","3,028571429","2,6",,3 - Consolidado,3 - Consolidado,3 - Consolidado,3,1,1,"2,5","3,333333333",3,"2,75",3,3 - Consolidado,3 - Consolidado,3 - Consolidado,Faço quase sempre,"3,714285714","3,806451613","3,5",4,4 - Robusto,4 - Robusto,3 - Consolidado,4 - Robusto
1,10,15/03/2021,EloGroup,Nexa,Paracatu,MG,Continuidade do Enfrentamento à COVID-19,FLUXO DE DADOS EPIDEMIOLÓGICOS,Suporte à decisão,Existem ritos de gestão periódicos (reuniões de nível operacional e estratégico) focados na melhoria dos indicadores epidemiológicos do município.,Sim,"3,078947368","2,8","2,50",2,3 - Consolidado,3 - Consolidado,2 - Em consolidação,Faço às vezes,"3,078947368","2,8","1,6",,3 - Consolidado,3 - Consolidado,2 - Em consolidação,,"3,225","3,028571429","2,6",,3 - Consolidado,3 - Consolidado,3 - Consolidado,3,1,1,"2,5","3,333333333",3,"2,75",2,3 - Consolidado,3 - Consolidado,3 - Consolidado,Faço às vezes,"3,666666667","3,806451613","3,5",3,4 - Robusto,4 - Robusto,3 - Consolidado,3 - Consolidado
